event_id,created_at,game_id,session_id,theme,id,correct,response_ms,points_delta,score_before,score_after,prompt_kind,answer_kind,metadata_json
9b68a79d-e2b7-448f-a295-b2a509c8875f,2026-05-25T13:13:15.542Z,matching,matching-20260525131304645-27e686,normal,ko-0060,1,1,34,250,284,korean,english,"{""selected_id"":""ko-0060"",""board_id"":""929e59e4-5c4d-448b-8da7-0fa6e3032261"",""challenge_id"":""""}"
5f10660b-c0ef-4348-b0fb-d190f2835991,2026-05-25T13:13:19.598Z,matching,matching-20260525131304645-27e686,normal,ko-0194,1,1887,28,250,278,korean,english,"{""selected_id"":""ko-0194"",""board_id"":""929e59e4-5c4d-448b-8da7-0fa6e3032261"",""challenge_id"":""""}"
7b4e03d7-4388-4f7e-80b9-502491bb41b0,2026-05-25T13:13:27.895Z,matching,matching-20260525131304645-27e686,normal,ko-0427,1,7085,9,250,259,korean,english,"{""selected_id"":""ko-0427"",""board_id"":""929e59e4-5c4d-448b-8da7-0fa6e3032261"",""challenge_id"":""""}"
06204d1c-08b8-4814-9e2e-5c662679db3e,2026-05-25T13:13:39.080Z,matching,matching-20260525131304645-27e686,normal,ko-0262,1,1987,28,250,278,korean,english,"{""selected_id"":""ko-0262"",""board_id"":""1bc5b22d-da1b-43ff-86da-b57bb13494c5"",""challenge_id"":""""}"
757e2359-6798-4224-9304-2361444e894c,2026-05-25T13:13:43.354Z,matching,matching-20260525131304645-27e686,normal,ko-0300,1,3105,24,250,274,korean,english,"{""selected_id"":""ko-0300"",""board_id"":""1bc5b22d-da1b-43ff-86da-b57bb13494c5"",""challenge_id"":""""}"
256a0eb4-4531-4ca1-b518-7f9df3f1917d,2026-05-25T13:13:48.712Z,matching,matching-20260525131304645-27e686,normal,ko-0081,1,3938,21,250,271,korean,english,"{""selected_id"":""ko-0081"",""board_id"":""1bc5b22d-da1b-43ff-86da-b57bb13494c5"",""challenge_id"":""""}"
9c31ace8-0b19-4878-8e26-d614ce1c2dfd,2026-05-25T13:13:58.471Z,matching,matching-20260525131304645-27e686,normal,ko-0490,0,8877,-20,250,230,korean,english,"{""selected_id"":""ko-0452"",""board_id"":""daf05384-33ed-45cf-ae8f-721c39a2b506"",""challenge_id"":""""}"
83c4a416-ade1-4d03-ab8b-2d85448aebbb,2026-05-25T13:14:06.645Z,matching,matching-20260525131304645-27e686,normal,ko-0490,0,5981,-20,230,210,korean,english,"{""selected_id"":""ko-0441"",""board_id"":""daf05384-33ed-45cf-ae8f-721c39a2b506"",""challenge_id"":""""}"
89aecb26-2046-4698-ac65-75cbbb933eba,2026-05-25T13:14:08.382Z,matching,matching-20260525131304645-27e686,normal,ko-0490,0,420,-20,210,190,korean,english,"{""selected_id"":""ko-0188"",""board_id"":""daf05384-33ed-45cf-ae8f-721c39a2b506"",""challenge_id"":""""}"
b954ae2c-feaa-45a0-9815-cecdb8f1b2f9,2026-05-25T13:14:54.186Z,matching,matching-20260525131304645-27e686,group,ko-0490,1,44505,6,190,196,korean,group,"{""selected_id"":""ko-0490"",""board_id"":""daf05384-33ed-45cf-ae8f-721c39a2b506"",""challenge_id"":""""}"
