game_id,session_id,score_id,created_at,word_ids,score,attempts,correct_count,wrong_count,metadata_json
matching,matching-20260525131304645-27e686,e4f0e82f-102d-4239-960d-4c282102e51c,2026-05-25T13:19:02.341Z,ko-0060|ko-0194|ko-0427|ko-0262|ko-0300|ko-0081|ko-0490|ko-0188|ko-0107,154,12,9,3,"{""events"":12,""stopped_at"":""2026-05-25T13:19:02.337Z""}"
matching,matching-20260525132130455-5f995a,c2087220-9705-42e9-b4b4-a65ee10f1f4d,2026-05-25T13:29:58.095Z,ko-0039|ko-0196|ko-0142|ko-0287|ko-0029|ko-0382|ko-0366|ko-0093|ko-0249|ko-0179|ko-0234|ko-0452|ko-0110|ko-0102|ko-0320|ko-0112|ko-0438|ko-0319|ko-0055|ko-0120|ko-0490|ko-0106|ko-0291|ko-0136|ko-0188|ko-0164|ko-0378|ko-0113|ko-0341|ko-0080|ko-0489|ko-0072|ko-0269|ko-0402|ko-0499|ko-0445|ko-0267|ko-0008|ko-0463|ko-0133|ko-0459|ko-0019|ko-0279|ko-0250|ko-0170|ko-0343|ko-0422|ko-0138|ko-0034|ko-0207|ko-0187|ko-0247|ko-0451|ko-0498|ko-0114|ko-0189|ko-0038|ko-0308|ko-0235|ko-0423|ko-0051|ko-0417|ko-0100|ko-0427|ko-0010|ko-0273|ko-0364|ko-0372|ko-0202|ko-0334|ko-0224|ko-0348|ko-0439|ko-0159|ko-0244|ko-0264|ko-0239|ko-0222|ko-0086|ko-0155|ko-0497|ko-0017,1749,95,84,11,"{""events"":95,""stopped_at"":""2026-05-25T13:29:58.092Z""}"
matching,matching-20260525134105742-d81d5d,f8adb2f8-a4ff-444c-8947-bef7c672c4b6,2026-05-25T13:54:43.513Z,ko-0425|ko-0024|ko-0048|ko-0268|ko-0265|ko-0325|ko-0039|ko-0142|ko-0394|ko-0135|ko-0467|ko-0173|ko-0402|ko-0376|ko-0008|ko-0357|ko-0244|ko-0090|ko-0318|ko-0128|ko-0138|ko-0489|ko-0095|ko-0294|ko-0051|ko-0339|ko-0117|ko-0169|ko-0054|ko-0213|ko-0450|ko-0208|ko-0034|ko-0113|ko-0380|ko-0275|ko-0354|ko-0077|ko-0159|ko-0422|ko-0476|ko-0360|ko-0405|ko-0190|ko-0243|ko-0365|ko-0311|ko-0210|ko-0407|ko-0260|ko-0249|ko-0012|ko-0011|ko-0441|ko-0218|ko-0446|ko-0300|ko-0371|ko-0215|ko-0147|ko-0217|ko-0337|ko-0206|ko-0127|ko-0036|ko-0349|ko-0037|ko-0109|ko-0283|ko-0035|ko-0151|ko-0399|ko-0079|ko-0284|ko-0254|ko-0193|ko-0312|ko-0102|ko-0332|ko-0004,1467,95,80,15,"{""events"":95,""stopped_at"":""2026-05-25T13:54:43.509Z""}"
matching,matching-20260525141337079-f9847d,f40e032b-884c-44b0-a259-e3b18af67bf2,2026-05-25T14:17:51.245Z,ko-0140|ko-0173|ko-0210|ko-0420|ko-0166|ko-0409|ko-0243|ko-0068|ko-0222|ko-0406|ko-0396|ko-0049|ko-0314|ko-0242|ko-0226|ko-0322|ko-0027|ko-0323|ko-0074|ko-0235|ko-0490|ko-0403|ko-0256|ko-0118|ko-0229|ko-0042|ko-0108|ko-0026|ko-0183|ko-0384,439,30,25,5,"{""events"":30,""stopped_at"":""2026-05-25T14:17:51.242Z""}"
matching,matching-20260525142305535-2296d4,29df16fe-d5ce-4c57-ab86-8eb81537c433,2026-05-25T14:30:43.501Z,ko-0475|ko-0436|ko-0268|ko-0222|ko-0159|ko-0241|ko-0202|ko-0299|ko-0006|ko-0048|ko-0253|ko-0483|ko-0457|ko-0485|ko-0308|ko-0280|ko-0214|ko-0283|ko-0428|ko-0120|ko-0231|ko-0459|ko-0022|ko-0158|ko-0166|ko-0014|ko-0003|ko-0327|ko-0072|ko-0163|ko-0496|ko-0431|ko-0126|ko-0171|ko-0237|ko-0471|ko-0389|ko-0314|ko-0377|ko-0027|ko-0329|ko-0493|ko-0149|ko-0363|ko-0488|ko-0188|ko-0273|ko-0160|ko-0147|ko-0367|ko-0344|ko-0168|ko-0194|ko-0141|ko-0381|ko-0170|ko-0091|ko-0070|ko-0395|ko-0311|ko-0290|ko-0465,1066,63,54,9,"{""events"":63,""stopped_at"":""2026-05-25T14:30:43.499Z""}"
matching,matching-20260525144219607-0bdf1e,2e813740-42cc-43ef-9e92-eb168d949af1,2026-05-25T14:45:24.243Z,ko-0415|ko-0104|ko-0055|ko-0457|ko-0069|ko-0384|ko-0405|ko-0154|ko-0141|ko-0367|ko-0292|ko-0274|ko-0273|ko-0057|ko-0297|ko-0321|ko-0354|ko-0364|ko-0015|ko-0195|ko-0352|ko-0018|ko-0185|ko-0422|ko-0187|ko-0353|ko-0026|ko-0007|ko-0303|ko-0329,331,30,22,8,"{""events"":30,""stopped_at"":""2026-05-25T14:45:24.236Z""}"
matching,matching-20260525152151623-3c1ff4,70deaf92-4b43-45f6-b88e-6b17c53ad324,2026-05-25T15:22:52.489Z,ko-0059|ko-0239|ko-0006|ko-0210|ko-0433|ko-0084|ko-0391|ko-0112|ko-0301,189,9,8,1,"{""events"":9,""stopped_at"":""2026-05-25T15:22:52.487Z""}"
matching,matching-20260525152307468-c76ab5,a075721b-644b-497d-b60b-aeaaf9e0d025,2026-05-25T15:25:00.956Z,ko-0049|ko-0142|ko-0181|ko-0063|ko-0297|ko-0164|ko-0269|ko-0050|ko-0476|ko-0155|ko-0190|ko-0251,199,12,10,2,"{""events"":12,""stopped_at"":""2026-05-25T15:25:00.953Z""}"
matching,matching-20260525154329169-7fbd3a,a464f26d-8023-4fc7-8564-e1d7c2600c24,2026-05-25T15:46:25.708Z,,0,0,0,0,"{""events"":0,""stopped_at"":""2026-05-25T15:46:25.704Z""}"
matching,matching-20260525201403482-a48479,b2e42487-1f1c-4d74-8f0f-0dc6a512f523,2026-05-25T20:34:32.154Z,ko-0019|ko-0258|ko-0455|ko-0238|ko-0442|ko-0370|ko-0237|ko-0063|ko-0186|ko-0109|ko-0014|ko-0272|ko-0483|ko-0315|ko-0422|ko-0369|ko-0289|ko-0028|ko-0153|ko-0246|ko-0372|ko-0351|ko-0031|ko-0034|ko-0437|ko-0439|ko-0256|ko-0235|ko-0361|ko-0323|ko-0103|ko-0290|ko-0147|ko-0407|ko-0453|ko-0333|ko-0283|ko-0151|ko-0452|ko-0410|ko-0324|ko-0267|ko-0417|ko-0275|ko-0413|ko-0479|ko-0306|ko-0365|ko-0033|ko-0191|ko-0087|ko-0030|ko-0466|ko-0025|ko-0015|ko-0020|ko-0403|ko-0104|ko-0070|ko-0406|ko-0037|ko-0396|ko-0046|ko-0197|ko-0076|ko-0143|ko-0183|ko-0377|ko-0311|ko-0196|ko-0343|ko-0353|ko-0374|ko-0230|ko-0050|ko-0482|ko-0090|ko-0142|ko-0126|ko-0172|ko-0159|ko-0016|ko-0310|ko-0041|ko-0017|ko-0418|ko-0291|ko-0022|ko-0055|ko-0458|ko-0428|ko-0347|ko-0234|ko-0011|ko-0206|ko-0312|ko-0013|ko-0380|ko-0099|ko-0471|ko-0148|ko-0489|ko-0049|ko-0062|ko-0487|ko-0129|ko-0440|ko-0170|ko-0010|ko-0445|ko-0384|ko-0469|ko-0297|ko-0097|ko-0094|ko-0426|ko-0395|ko-0167|ko-0474|ko-0464|ko-0024|ko-0270|ko-0114|ko-0164|ko-0089|ko-0199|ko-0423|ko-0059|ko-0342|ko-0378|ko-0405|ko-0061|ko-0465|ko-0220|ko-0431|ko-0106|ko-0052|ko-0098|ko-0441|ko-0478|ko-0071|ko-0299|ko-0326|ko-0485|ko-0392|ko-0248|ko-0357|ko-0155|ko-0032|ko-0327,2428,161,131,30,"{""events"":161,""stopped_at"":""2026-05-25T20:34:32.152Z""}"
